Date;Class;ExpirationDate;InterestRate;MinToExpiration;YearsToExpiration;SymbolId;Strike;DeltaStrike;PutCall;Premium;Volume;Forward;AtmStrike
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;0272fp;20.400.000;100.000;P;648.000;744;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zwBn;20.500.000;100.000;P;730.000;737;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;0272kW;20.600.000;100.000;P;692.000;730;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;0272kH;20.700.000;75.000;P;829.000;411;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zwBl;20.750.000;50.000;P;734.000;360;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;0272kE;20.800.000;75.000;P;710.000;666;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;026S6h;20.900.000;100.000;P;762.000;710;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zw9n;21.000.000;100.000;P;750.000;701;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zw9j;21.100.000;100.000;P;750.000;695;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zw9e;21.200.000;75.000;P;950.000;393;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zwBj;21.250.000;50.000;P;990.000;344;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zw9a;21.300.000;75.000;P;810.000;637;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zw9X;21.400.000;100.000;P;926.000;675;24.010.006;24.000.000
